"Skola","Pasvaldiba"
"Aizputes novada Neklātienes vidusskola","Aizputes novads"
"Baltinavas Kristīgā internātpamatskola","Baltinavas novads"
"Balvu profesionālā un vispārizglītojošā vidusskola","Balvu novads"
"Daugavpils 1. speciālā pamatskola","Daugavpils"
"Dobeles sākumskola","Dobeles novads"
"Dzērbenes vispārizglītojošā un mūzikas pamatskola","Vecpiebalgas novads"
"Dzirciema internātpamatskola","Tukuma novads"
"Gaismas internātpamatskola","Stopiņu novads"
"Gārsenes pamatskola","Aknīstes novads"
"Gaujienas internātpamatskola","Apes novads"
"Grobiņas pagasta sākumskola","Grobiņas novads"
"Indras vidusskola","Krāslavas novads"
"Inešu pamatskola","Vecpiebalgas novads"
"Jaunmārupes pamatskola","Mārupes novads"
"Jaunmuižas pamatskola","Skrundas novads"
"Jelgavas 1. internātpamatskola","Jelgava"
"Jelgavas 3. sākumskola","Jelgava"
"Jelgavas 4. sākumskola","Jelgava"
"J.G.Herdera Rīgas Grīziņkalna vidusskola","Rīga"
"Jumpravas speciālā internātpamatskola","Lielvārdes novads"
"Jūrkalnes pamatskola","Ventspils novads"
"Jūrmalas pilsētas internātpamatskola","Jūrmala"
"Katvaru internātpamatskola","Limbažu novads"
"Krimūnu sākumskola","Dobeles novads"
"Launkalnes sākumskola","Smiltenes novads"
"Laurenču sākumskola","Siguldas novads"
"Lažas speciālā internātpamatskola","Aizputes novads"
"Lazdiņas privātā pamatskola ""Punktiņš""","Jelgava"
"Lejasstrazdu sākumskola","Dobeles novads"
"Lībagu sākumskola","Talsu novads"
"Liepājas Centra sākumskola","Liepāja"
"Liepājas Ezerkrasta sākumskola","Liepāja"
"Liepājas speciālā internātpamatskola","Liepāja"
"Maltas speciālā internātpamatskola","Rēzeknes novads"
"Maltas vidusskola","Rēzeknes novads"
"Mārupes novada Skultes sākumskola","Mārupes novads"
"Matkules sākumskola","Kandavas novads"
"Mazirbes internātpamatskola","Dundagas novads"
"Medumu internātpamatskola","Daugavpils novads"
"Medumu pamatskola","Daugavpils novads"
"Ogres sākumskola","Ogres novads"
"Piejūras internātpamatskola","Carnikavas novads"
"Pļavniekkalna sākumskola","Ķekavas novads"
"Privātā Montessori sākumskola","Mārupes novads"
"Privātā pamatskola ""RIMS-Rīga International meridian school""","Rīga"
"Privātā sākumskola ""Namiņš""","Rīga"
"Privātā sākumskola ""Vinnijs""","Babītes novads"
"Privātā vidusskola ""MAXVEL""","Rīga"
"Privātsākumskola ""Varavīksne""","Liepāja"
"Purmsātu speciālā internātpamatskola","Priekules novads"
"Raiskuma internātpamatskola – rehabilitācijas centrs","Pārgaujas novads"
"Ramatas sākumskola","Mazsalacas novads"
"Raudas internātpamatskola","Ilūkstes novads"
"Rīgas 1. speciālā internātpamatskola","Rīga"
"Rīgas 5. speciālā internātpamatskola","Rīga"
"Rīgas Ezerkrastu pamatskola","Rīga"
"Rīgas internātvidusskola bērniem ar dzirdes traucējumiem","Rīga"
"Rīgas Kristīgā sākumskola","Rīga"
"Rīgas Montessori sākumskola","Rīga"
"Rites pamatskola","Viesītes novads"
"Sākumskola ""Ābelīte""","Jūrmala"
"Sākumskola ""Taurenītis""","Jūrmala"
"Skaistas sākumskola","Krāslavas novads"
"Strazdumuižas internātvidusskola - attīstības centrs vājredzīgiem un neredzīgiem bērniem","Rīga"
"Talsu sākumskola","Talsu novads"
"Tārgales pamatskola","Ventspils novads"
"Taurupes pamatskola","Ogres novads"
"Tukuma internātpamatskola","Tukuma novads"
"Upesgrīvas internātpamatskola","Talsu novads"
"Vaidavas internātpamatskola","Kocēnu novads"
"Valmieras Pārgaujas sākumskola","Valmiera"
"Valmieras sākumskola","Valmiera"
"Ventspils Centra sākumskola","Ventspils"
"Vidagas Sikšņu pamatskola","Apes novads"
"Zālītes speciālā internātpamatskola","Iecavas novads"
"Zemgales vidusskola (Daugavpils novads)","Daugavpils novads"
"Zemgales vidusskola (Tukuma novads)","Tukuma novads"
"Vidagas Sikšņu pamatskola (Apes novads)","Apes novads"
"Rīgas Tālmācības vidusskola (Iecavas novads)","Iecavas novads"
"Eglaines pamatskola (Ilūkstes novads)","Ilūkstes novads"
